"sample_id","min","mean","median","max","sd","skew"
1,213564.81,250514.14,250312.5,330289.34,13551.7,0.3
2,219918.98,254108.43,254212.97,291840.28,14559.07,0.02
3,128379.63,253774.25,253888.89,296562.5,16246,-0.46
4,219421.3,252352.17,252812.5,292384.25,14912.91,0
5,214108.8,251614.74,252048.61,297256.94,14616.59,0.1
6,189189.81,242045.21,241759.27,287291.66,15189.36,-0.05
7,208807.88,246330.58,246666.67,283460.66,14758.41,-0.09
8,202581.02,245347.09,245729.17,284884.25,16081.11,-0.06
9,219340.28,250216.29,250370.38,290335.66,14030.73,0.08
10,212268.52,248461.01,247824.08,292291.66,15654.13,0.15
11,216018.52,248003.42,248368.06,286608.78,13914.06,0.03
18,213495.38,259971.32,260462.97,303541.66,17449.17,-0.02
19,213472.22,258761.4,258796.3,302152.78,17038.8,0.04
20,211203.7,257341.37,256898.14,340034.75,14770.83,0.3
21,231134.27,264280.51,264236.12,296759.25,13181.14,0.01
22,227453.7,260173.08,259687.5,298171.28,13052.45,0.1
23,225023.14,255941.96,255671.3,286388.88,13019.93,0.05
24,223611.11,255136.53,254548.61,285324.06,12562.61,0.04
25,223807.88,254727.99,254305.56,285949.06,12104.56,0.05
26,214560.19,253791.06,253622.69,285682.88,12206.82,0
27,210104.17,249930.98,250266.2,284178.25,12987.93,-0.13
28,212094.91,249337.68,250393.52,285567.12,14663.6,-0.16
29,212291.67,252114.31,252152.78,286331.03,12274.18,-0.13
30,217326.39,254971.71,254606.48,300115.75,14866.26,0.2
31,112569.45,256370.42,259351.86,294097.22,22789.7,-3.08
32,216018.52,254148.43,254270.83,330231.47,13827.57,0.51
33,226562.5,254638.46,254710.64,282337.97,12110.24,-0.01
34,221655.09,252743.91,252638.89,291747.69,13273.7,0.07
35,219143.52,250821.3,250659.72,283136.56,12713.18,0.04
36,217384.27,249461.51,249398.14,283344.91,13367.5,-0.01
37,212719.91,247152.4,246956.02,285902.78,15082.54,0.08
38,173240.73,247343.4,247974.53,282592.59,16048.69,-0.6
39,211469.91,248006.07,248321.77,277418.97,13455.1,-0.18
40,205844.91,246301.83,247557.88,289398.16,16528.23,-0.16
41,224386.58,253422.76,253125,286446.75,12669.15,0.1
42,192870.38,245973.47,246504.62,337951.41,15893,0.2
43,200451.39,242650.36,242453.7,280092.59,16755.98,0
44,185034.72,242168.11,243055.56,282326.38,17536.21,-0.35
45,206064.81,242165.3,242083.33,277129.62,13937.75,-0.05
46,208761.58,244794.9,244976.86,283229.16,14528.81,-0.06
47,117627.31,234641.08,240555.56,284004.62,27567.07,-1.19
48,218483.8,251380.36,251087.97,284918.97,13107.85,0.1
49,198275.47,250526.98,250706.02,282696.75,13656.23,-0.22
50,193564.81,245781.85,246192.12,288865.75,16711.63,-0.18
51,201226.86,242848.14,242534.72,286666.66,15911.2,0.07
52,211400.47,246386.34,245983.8,282592.59,14709.95,0.1
53,243.06,238992.57,245590.28,339791.66,43425.14,-4.14
54,221087.97,252745.03,251932.88,287083.34,12836.22,0.15
55,224722.22,254245.01,253935.19,287395.84,12526.94,0.13
56,213437.5,251778.49,252106.48,287974.53,14697.87,-0.12
57,224421.3,256086.64,255717.59,287870.38,12255.97,0.05
58,217789.36,252404.59,252337.97,282013.88,12103.33,0.02
59,211597.22,250018.51,249641.2,290740.75,13329.89,0.08
60,216018.52,248056.26,248321.77,277638.88,13069.71,-0.05
61,212581.02,245143.94,244710.64,279305.56,13844.14,0.09
62,176979.17,244336.9,245277.78,278715.28,16620.63,-0.53
63,206759.27,242144.52,242199.08,277002.31,14567.18,-0.01
64,214953.7,248794.8,247974.53,339409.72,14257.97,1.17
65,203171.3,245793.26,246076.39,283784.72,13607.13,0.01
66,189062.5,242504.05,243842.59,281875,16347.51,-0.46
67,207974.53,252302.52,252314.81,288020.84,13016.71,-0.16
83,167870.38,224098.54,229270.83,267662.03,19605.02,-0.44
84,197812.5,243319.69,244525.47,278842.59,14855.87,-0.33
85,214351.86,248170.59,248750,276932.88,11387.61,-0.35
86,193182.88,250220.2,251053.23,284641.22,14663.93,-0.43
87,198043.98,239719.07,239675.92,339976.84,15890.68,0.81
88,200428.23,241033.28,241145.83,281782.41,16602.69,-0.03
89,189270.83,233954.89,234270.83,271817.12,16751.74,-0.02
90,189131.94,230486.7,231006.94,275416.66,18462.61,-0.05
91,192037.03,228761.74,229131.94,264085.66,15909.31,-0.1
92,7256.94,226606.26,233541.67,282245.38,39088.26,-3.37
93,199097.22,237617.73,237731.48,280752.31,15161.57,-0.08
94,197569.44,235583.51,235972.22,268032.41,14333.63,-0.14
95,200289.36,246892.12,247870.38,276863.44,12756.42,-0.32
96,206956.02,248438.63,248750,278969.91,14233.04,-0.17
97,193854.17,241955.75,243240.73,290057.88,20131.8,-0.06
98,197939.81,244373.03,244814.81,281724.53,15518.91,-0.23
99,201064.81,245752.97,245937.5,285243.06,14825.46,-0.05
100,209016.2,249802.7,249953.7,286307.88,14012.79,-0.12
