Sample_Index,Max_diff_time_hours,Time_period,Value_min,Value_max,Range,Mean,Sd,Median
0,0.172190833,21.18,9.03,16.19,7.17,11.56,1.76,11.38
1,0.167593611,20.25,9.01,16.16,7.15,11.59,1.79,11.4
2,0.167593611,19.02,9.01,16.17,7.16,11.66,1.84,11.44
3,0.167593611,18.43,9,16.48,7.48,11.74,1.87,11.56
4,0.167593611,19.21,8.99,16.48,7.49,11.74,1.86,11.59
5,0.122411111,19.51,8.99,16.48,7.49,11.69,1.83,11.53
6,0.122411111,20.71,8.99,16.48,7.49,11.59,1.79,11.36
7,0.122411111,20.61,8.99,16.29,7.3,11.48,1.77,11.21
8,0.111252778,19.56,9,16.08,7.08,11.48,1.78,11.19
9,0.111252778,19.2,8.98,16.27,7.3,11.45,1.8,11.16
10,0.176934444,18.64,8.98,16.27,7.3,11.5,1.83,11.22
11,0.176934444,17.98,8.98,16.27,7.3,11.61,1.86,11.38
12,0.176934444,18.01,8.98,16.27,7.3,11.65,1.88,11.41
13,0.176934444,18.07,9,16.21,7.21,11.75,1.92,11.5
14,0.178964722,18.09,9.01,16.29,7.29,11.75,1.93,11.51
15,0.178964722,18.59,9.01,16.29,7.29,11.74,1.93,11.47
16,0.1972425,20.32,9,16.29,7.3,11.69,1.91,11.45
17,0.1972425,22.3,9,16.29,7.3,11.64,1.87,11.42
18,0.1972425,21.94,9,16.28,7.28,11.64,1.86,11.46
19,0.1972425,22.65,8.99,16.28,7.29,11.67,1.87,11.5
20,0.2104675,22.34,8.97,16.28,7.31,11.69,1.87,11.52
21,0.2104675,21.16,8.97,16.28,7.31,11.73,1.89,11.57
22,0.2104675,24.09,8.97,16.09,7.12,11.68,1.85,11.48
23,0.2104675,24.45,8.97,16.09,7.12,11.63,1.81,11.44
24,0.182841667,25.1,8.97,16.07,7.11,11.66,1.84,11.46
25,0.182841667,24.98,8.97,16.21,7.24,11.63,1.87,11.38
26,0.182841667,22.19,8.97,16.21,7.24,11.63,1.91,11.41
27,0.182841667,21.55,8.97,16.21,7.24,11.61,1.92,11.37
28,0.164972222,19.91,8.97,16.53,7.56,11.56,1.9,11.34
29,0.169920556,19.56,8.97,16.53,7.56,11.64,1.92,11.42
30,0.169920556,19.5,8.96,16.53,7.58,11.78,2,11.51
31,0.169920556,19.58,8.96,16.53,7.58,11.87,2.06,11.64
32,0.169920556,19.83,8.96,16.36,7.41,11.87,2.05,11.65
33,0.158718611,20.06,8.96,16.36,7.41,11.82,2.02,11.59
34,0.158718611,20.74,8.96,16.36,7.41,11.71,1.94,11.48
35,0.158718611,21.56,8.98,16.26,7.28,11.64,1.89,11.4
36,0.158718611,21.06,8.98,16.26,7.28,11.66,1.88,11.44
37,0.157437222,21.44,8.98,16.26,7.28,11.65,1.84,11.43
38,0.161456389,21.71,8.98,16.19,7.21,11.66,1.81,11.45
39,0.161456389,20.64,8.99,16.04,7.05,11.68,1.8,11.48
40,0.179451944,21.34,8.98,16.04,7.06,11.65,1.79,11.44
41,0.179451944,21.2,8.98,16.04,7.06,11.63,1.79,11.42
42,0.286576111,20.92,8.98,15.87,6.89,11.6,1.79,11.41
43,0.286576111,21.09,8.98,15.87,6.89,11.6,1.8,11.41
44,0.286576111,20.92,8.98,15.98,7,11.61,1.85,11.41
45,0.286576111,20.76,0,16.24,16.24,11.53,2.24,11.41
46,0.244483333,20.24,0,16.26,16.26,11.57,2.25,11.45
47,0.244483333,20.27,0,16.26,16.26,11.59,2.27,11.47
48,0.244483333,20.11,0,16.26,16.26,11.76,2.33,11.63
49,0.214885278,20.28,8.95,16.26,7.31,11.94,2,11.74
50,0.214885278,20.37,8.95,16.23,7.28,11.96,2.02,11.78
51,0.214885278,19.86,8.96,16.23,7.26,11.98,2.03,11.8
52,0.214885278,20.17,8.98,16.23,7.25,11.82,1.94,11.64
53,0.129945278,20.94,8.97,16.23,7.26,11.69,1.9,11.46
54,0.130336944,21.03,8.94,16.08,7.14,11.65,1.89,11.38
55,0.152054722,21.95,8.93,16.08,7.15,11.58,1.85,11.33
56,0.152054722,21.83,8.93,16.26,7.34,11.6,1.88,11.36
57,0.153072222,20.47,8.93,16.48,7.55,11.66,1.92,11.48
58,0.153072222,19.93,8.93,16.48,7.55,11.68,1.91,11.5
59,0.153072222,19.28,8.92,16.48,7.56,11.64,1.92,11.42
60,0.153072222,18.82,8.92,16.48,7.56,11.62,1.91,11.34
61,0.148444444,19.45,8.92,16.1,7.18,11.63,1.88,11.4
62,0.148444444,19.87,8.92,16.11,7.19,11.73,1.9,11.55
63,0.148444444,19.95,8.93,16.11,7.18,11.85,1.91,11.71
64,0.148444444,20.34,8.94,16.14,7.2,11.93,1.93,11.8
65,0.184730556,20.35,8.94,16.14,7.2,11.94,1.94,11.78
66,0.184730556,20.6,8.94,16.29,7.35,11.82,1.91,11.66
67,0.184730556,20.6,8.94,16.29,7.35,11.74,1.9,11.56
68,0.1997,20.93,8.93,16.29,7.36,11.69,1.87,11.49
69,0.1997,20.53,8.93,16.29,7.36,11.66,1.85,11.45
70,0.1997,20.98,8.93,16.16,7.23,11.65,1.87,11.42
71,0.1997,22.31,8.93,16.03,7.1,11.6,1.87,11.4
72,0.167242778,22.74,8.94,16.03,7.09,11.55,1.87,11.32
73,11.68284722,48.67,0,16.35,16.35,11.5,2.18,11.31
