"","timestamp","value","cluster"
"71210",2019-03-15 05:13:19,680,"6"
"73821",2019-03-17 03:46:57,2915,"4"
"101585",2019-04-05 21:53:05,6862,"1"
"74169",2019-03-17 11:40:36,7212,"5"
"64402",2019-03-09 22:20:25,7431,"4"
"95098",2019-04-01 02:44:06,6725,"3"
"64721",2019-03-10 04:35:11,7868,"5"
"82846",2019-03-21 23:27:38,6732,"3"
"73513",2019-03-17 00:59:34,667,"2"
"62211",2019-03-07 17:25:57,7463,"7"
"96178",2019-04-02 00:46:29,7255,"3"
"84245",2019-03-23 04:19:53,7376,"5"
"83828",2019-03-22 17:41:39,7559,"4"
"100670",2019-04-04 23:20:17,6674,"3"
"90405",2019-03-28 06:38:06,6667,"4"
"78560",2019-03-20 14:27:04,397,"2"
"93776",2019-03-31 03:33:41,1067,"3"
"62398",2019-03-07 21:36:33,7899,"7"
"93900",2019-03-31 03:43:49,2253,"6"
"67793",2019-03-13 04:12:39,7896,"7"
"80220",2019-03-20 18:48:00,385,"6"
"75825",2019-03-18 17:00:00,385,"4"
"80425",2019-03-20 19:54:01,430,"4"
"94929",2019-03-31 23:32:27,7134,"1"
"98210",2019-04-02 17:01:24,680,"6"
"102214",2019-04-06 11:21:58,7447,"1"
"73126",2019-03-16 23:26:33,687,"2"
"65440",2019-03-10 19:13:32,7705,"7"
"81791",2019-03-21 06:04:18,5427,"3"
"96853",2019-04-02 14:48:30,6518,"3"
"73478",2019-03-17 00:48:46,674,"2"
"68450",2019-03-13 15:53:50,7104,"7"
"65696",2019-03-11 01:44:26,7110,"4"
"97127",2019-04-02 15:29:10,638,"6"
"64568",2019-03-10 01:50:16,7419,"7"
"97541",2019-04-02 16:02:43,653,"6"
"75417",2019-03-18 11:26:30,569,"5"
"86762",2019-03-25 10:52:54,6809,"1"
"75931",2019-03-18 17:20:53,360,"2"
"95194",2019-04-01 04:42:48,7179,"1"
"96497",2019-04-02 07:12:23,6940,"4"
"68494",2019-03-13 16:33:15,7293,"5"
"99780",2019-04-04 00:27:20,7158,"3"
"75616",2019-03-18 12:01:34,385,"2"
"101231",2019-04-05 13:44:01,7321,"1"
"91498",2019-03-29 06:10:00,6847,"4"
"67449",2019-03-12 21:18:40,7334,"5"
"88076",2019-03-26 03:57:29,7089,"3"
"82369",2019-03-21 15:36:19,6243,"4"
"74226",2019-03-17 12:29:53,7330,"4"
"87503",2019-03-25 14:20:01,2257,"6"
