"","signal_length","energie","variance","kurtosis","skeweness","rms"
"1",8,0.9946,12082978.62,-0.01,0.51,5502.34
"2",8,0.004,183681.85,-0.01,0.51,309.27
"3",8,2e-04,9526.17,-0.01,0.51,76.86
"4",8,6e-04,23340.29,-0.01,0.51,126.65
"5",8,0,1270.95,-0.01,0.51,23.86
"6",8,1e-04,2573.62,-0.01,0.51,26.64
"7",8,2e-04,6291.75,-0.01,0.51,55.41
"8",8,1e-04,4532.2,-0.01,0.51,37.22
"9",8,0,357.39,-0.01,0.51,12.23
"10",8,0,534,-0.01,0.51,15.12
"11",8,0,561.02,-0.01,0.51,13.92
"12",8,0,631.46,-0.01,0.51,11.64
"13",8,0,1375.71,-0.01,0.51,25.39
"14",8,0,1247.47,-0.01,0.51,22.67
"15",8,0,592.76,-0.01,0.51,16.61
"16",8,0,999.81,-0.01,0.51,16.79
"17",8,0,101.69,-0.01,0.51,6.47
"18",8,0,122.2,-0.01,0.51,7.06
"19",8,0,129.15,-0.01,0.51,7.14
"20",8,0,117.71,-0.01,0.51,7.14
"21",8,0,153.73,-0.01,0.51,7.7
"22",8,0,174.43,-0.01,0.51,7.68
"23",8,0,137.01,-0.01,0.51,7.85
"24",8,0,164.09,-0.01,0.51,7.25
"25",8,0,358.15,-0.01,0.51,11.11
"26",8,0,337.99,-0.01,0.51,10.44
"27",8,0,274.21,-0.01,0.51,10.75
"28",8,0,305.68,-0.01,0.51,11.54
"29",8,0,185.29,-0.01,0.51,9.07
"30",8,0,223.03,-0.01,0.51,9.99
"31",8,0,214.51,-0.01,0.51,9.88
"32",8,0,248.74,-0.01,0.51,7.08
"33",8,0,26.01,-0.01,0.51,3.58
"34",8,0,30.79,-0.01,0.51,2.92
"35",8,0,35.06,-0.01,0.51,3.74
"36",8,0,30.18,-0.01,0.51,3.75
"37",8,0,36.7,-0.01,0.51,4.04
"38",8,0,35.99,-0.01,0.51,3.26
"39",8,0,33.85,-0.01,0.51,2.84
"40",8,0,33.34,-0.01,0.51,3.8
"41",8,0,43.34,-0.01,0.51,3.67
"42",8,0,48.52,-0.01,0.51,4.45
"43",8,0,38.91,-0.01,0.51,4.14
"44",8,0,46.11,-0.01,0.51,2.98
"45",8,0,39.85,-0.01,0.51,2.72
"46",8,0,35.25,-0.01,0.51,3.44
"47",8,0,41.62,-0.01,0.51,3.16
"48",8,0,40.38,-0.01,0.51,3.88
"49",8,0,102.85,-0.01,0.51,5.76
"50",8,0,89.98,-0.01,0.51,4.99
"51",8,0,94.01,-0.01,0.51,6.11
"52",8,0,84.39,-0.01,0.51,6.09
"53",8,0,67.49,-0.01,0.51,4.78
"54",8,0,74.77,-0.01,0.51,4.36
"55",8,0,80.63,-0.01,0.51,4.96
"56",8,0,74.82,-0.01,0.51,5.74
"57",8,0,51.41,-0.01,0.51,3.94
"58",8,0,47.48,-0.01,0.51,3.8
"59",8,0,58.9,-0.01,0.51,4.89
"60",8,0,49.24,-0.01,0.51,4.67
"61",8,0,66.16,-0.01,0.51,5.21
"62",8,0,62.31,-0.01,0.51,5.22
"63",8,0,54.16,-0.01,0.51,5.2
"64",8,0,63.73,-0.01,0.51,3.22
"65",8,0,11.04,-0.01,0.51,2.17
"66",8,0,13.31,-0.01,0.51,2.61
"67",8,0,15.04,-0.01,0.51,2.13
"68",8,0,14.57,-0.01,0.51,2.37
"69",8,0,16.18,-0.01,0.51,1.72
"70",8,0,14.08,-0.01,0.51,2.5
"71",8,0,15.68,-0.01,0.51,2.61
"72",8,0,13.87,-0.01,0.51,2.46
"73",8,0,16.56,-0.01,0.51,2.27
"74",8,0,14.82,-0.01,0.51,2.56
"75",8,0,15.44,-0.01,0.51,2.01
"76",8,0,15.05,-0.01,0.51,2.45
"77",8,0,15.06,-0.01,0.51,2.54
"78",8,0,14.77,-0.01,0.51,2.43
"79",8,0,16.37,-0.01,0.51,2.53
"80",8,0,14.27,-0.01,0.51,2.2
"81",8,0,16.18,-0.01,0.51,2.61
"82",8,0,17.38,-0.01,0.51,2.27
"83",8,0,15.82,-0.01,0.51,2.73
"84",8,0,18.15,-0.01,0.51,2.38
"85",8,0,17.03,-0.01,0.51,2.3
"86",8,0,15.94,-0.01,0.51,2.21
"87",8,0,16.8,-0.01,0.51,2.07
"88",8,0,16.77,-0.01,0.51,2.47
"89",8,0,15.7,-0.01,0.51,2.5
"90",8,0,15.2,-0.01,0.51,2.34
"91",8,0,16.18,-0.01,0.51,2.2
"92",8,0,15.87,-0.01,0.51,2.61
"93",8,0,16.09,-0.01,0.51,2.44
"94",8,0,16.5,-0.01,0.51,2.13
"95",8,0,17.01,-0.01,0.51,2.54
"96",8,0,14.82,-0.01,0.51,2.38
"97",8,0,27.74,-0.01,0.51,3.34
"98",8,0,29.65,-0.01,0.51,2.91
"99",8,0,28.9,-0.01,0.51,3.4
"100",8,0,26.7,-0.01,0.51,3.53
"101",8,0,24.03,-0.01,0.51,3.1
"102",8,0,27.21,-0.01,0.51,2.39
"103",8,0,26.75,-0.01,0.51,2.82
"104",8,0,27.15,-0.01,0.51,3.34
"105",8,0,20.09,-0.01,0.51,2.91
"106",8,0,23.79,-0.01,0.51,3.14
"107",8,0,21.64,-0.01,0.51,2.45
"108",8,0,23.66,-0.01,0.51,2.58
"109",8,0,25.47,-0.01,0.51,2.63
"110",8,0,23.94,-0.01,0.51,2.8
"111",8,0,22.19,-0.01,0.51,2.89
"112",8,0,25.65,-0.01,0.51,2.64
"113",8,0,19.04,-0.01,0.51,2.19
"114",8,0,16.4,-0.01,0.51,2.79
"115",8,0,18.5,-0.01,0.51,2.2
"116",8,0,17.24,-0.01,0.51,2.6
"117",8,0,19.58,-0.01,0.51,2.84
"118",8,0,17.56,-0.01,0.51,2.81
"119",8,0,19.89,-0.01,0.51,2.82
"120",8,0,17.06,-0.01,0.51,2.3
"121",8,0,20.35,-0.01,0.51,2.99
"122",8,0,21.48,-0.01,0.51,2.9
"123",8,0,19.98,-0.01,0.51,2.34
"124",8,0,21.51,-0.01,0.51,2.61
"125",8,0,20.75,-0.01,0.51,2.17
"126",8,0,18.34,-0.01,0.51,2.49
"127",8,0,19.01,-0.01,0.51,2.62
"128",8,0,20.43,-0.01,0.51,2.64
