"","signal_length","energie","variance","kurtosis","skeweness","rms"
"1",8,0.996,18783819.82,-0.68,0.09,7487.02
"2",8,0.0025,207315.81,-0.68,0.09,340.48
"3",8,3e-04,26198.43,-0.68,0.09,123.09
"4",8,6e-04,44359,-0.68,0.09,169.43
"5",8,0,2594.32,-0.68,0.09,33.27
"6",8,1e-04,5047.65,-0.68,0.09,43.56
"7",8,1e-04,7529.35,-0.68,0.09,63.23
"8",8,1e-04,5588.4,-0.68,0.09,54.68
"9",8,0,737.49,-0.68,0.09,16.28
"10",8,0,747.77,-0.68,0.09,17.97
"11",8,0,1099.34,-0.68,0.09,20.99
"12",8,0,880.13,-0.68,0.09,14.44
"13",8,0,2029.51,-0.68,0.09,28.36
"14",8,0,2246.05,-0.68,0.09,25.85
"15",8,0,1131.41,-0.68,0.09,21.48
"16",8,0,1480.56,-0.68,0.09,20.88
"17",8,0,167.11,-0.68,0.09,8.77
"18",8,0,195.84,-0.68,0.09,8.69
"19",8,0,193.16,-0.68,0.09,8.77
"20",8,0,188.25,-0.68,0.09,8.5
"21",8,0,273.12,-0.68,0.09,9.98
"22",8,0,256.35,-0.68,0.09,9.58
"23",8,0,211.88,-0.68,0.09,10.16
"24",8,0,247.19,-0.68,0.09,8.51
"25",8,0,598.72,-0.68,0.09,14.4
"26",8,0,503.85,-0.68,0.09,13.84
"27",8,0,425.56,-0.68,0.09,13.49
"28",8,0,488.87,-0.68,0.09,15.01
"29",8,0,282.69,-0.68,0.09,11.52
"30",8,0,319.44,-0.68,0.09,11.09
"31",8,0,341.44,-0.68,0.09,12.49
"32",8,0,406.25,-0.68,0.09,10.49
"33",8,0,60.17,-0.68,0.09,5.92
"34",8,0,50.53,-0.68,0.09,3.76
"35",8,0,55.71,-0.68,0.09,4.58
"36",8,0,46.33,-0.68,0.09,4.62
"37",8,0,58.06,-0.68,0.09,5.03
"38",8,0,56.68,-0.68,0.09,4.11
"39",8,0,55.64,-0.68,0.09,3.71
"40",8,0,52.07,-0.68,0.09,4.76
"41",8,0,68.79,-0.68,0.09,4.8
"42",8,0,75.97,-0.68,0.09,5.52
"43",8,0,63.27,-0.68,0.09,5.04
