"","energy"
"1",0.1963
"2",1e-04
"3",0
"4",0.7911
"5",2e-04
"6",0.0023
"7",1e-04
"8",0.0012
"9",0
"10",0
"11",0
"12",0
"13",1e-04
"14",0
"15",0
"16",0
"17",0
"18",0
"19",1e-04
"20",0
"21",0
"22",0
"23",0
"24",1e-04
"25",0
"26",0
"27",1e-04
"28",0
"29",1e-04
"30",1e-04
"31",0
"32",0
"33",0
"34",0
"35",0
"36",1e-04
"37",0
"38",1e-04
"39",0
"40",0
"41",1e-04
"42",0
"43",1e-04
"44",0
"45",0
"46",1e-04
"47",0
"48",0
"49",0
"50",0
"51",0
"52",1e-04
"53",1e-04
"54",0
"55",0
"56",1e-04
"57",0
"58",0
"59",0
"60",1e-04
"61",0
"62",0
"63",0
"64",1e-04
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",2e-04
"74",0
"75",0
"76",1e-04
"77",0
"78",1e-04
"79",0
"80",0
"81",0
"82",0
"83",1e-04
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",1e-04
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",1e-04
"104",0
"105",1e-04
"106",0
"107",1e-04
"108",0
"109",1e-04
"110",1e-04
"111",0
"112",1e-04
"113",0
"114",0
"115",1e-04
"116",0
"117",0
"118",0
"119",0
"120",1e-04
"121",0
"122",0
"123",1e-04
"124",0
"125",1e-04
"126",0
"127",0
"128",1e-04
"129",0
"130",0
"131",1e-04
"132",1e-04
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",1e-04
"151",0
"152",0
"153",1e-04
"154",0
"155",0
"156",0
"157",1e-04
"158",1e-04
"159",0
"160",1e-04
"161",0
"162",1e-04
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",1e-04
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",1e-04
"187",0
"188",0
"189",1e-04
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",1e-04
"198",0
"199",1e-04
"200",1e-04
"201",0
"202",0
"203",0
"204",1e-04
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",1e-04
"216",1e-04
"217",0
"218",0
"219",0
"220",0
"221",0
"222",1e-04
"223",1e-04
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",1e-04
"232",0
"233",0
"234",1e-04
"235",0
"236",0
"237",0
"238",1e-04
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",1e-04
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
