"x","y"
1,7623.7
2,7540.6
3,7465.4
4,7543.1
5,7464.7
6,7352.2
7,7469.7
8,7567
9,7658.2
10,7558.4
11,7479.6
12,7557.2
13,7474
14,7386.8
15,7462.9
16,7383.7
17,7459.1
18,7376.1
19,7453.6
20,7370.5
21,7454.2
22,7372.4
23,7448
24,7524
25,7610.3
26,7696.2
27,7602.4
28,7519.1
29,7434.9
30,7359.8
31,7279.5
32,7204.7
33,7120.7
34,7041.5
35,6953.5
36,7033.6
37,7122.6
38,7212.4
39,7301.7
40,7211.7
41,7125.2
42,7207.2
43,7281.4
44,7371.7
45,7294.7
46,7371.7
47,7273.1
48,7190.5
49,7264.8
50,7354.8
51,7429.9
52,7331.4
53,7411.2
54,7334
55,7254.6
56,7175.1
57,7248.9
58,7170.5
59,7266.1
60,7193.7
61,7284.6
62,7364.2
63,7286.5
64,7365.5
65,7292.2
66,7373.6
67,7290.9
68,7213.7
69,7311.2
70,7388.1
71,7313.7
72,7388.1
73,7290.9
74,7212.4
75,7308.7
76,7228.4
77,7301.7
78,7201.5
79,7280.1
80,7207.2
81,7285.8
82,7362.3
83,7277.6
84,7202.1
85,7275
86,7198.3
87,7125.9
88,7209.8
89,7134.3
90,7206.6
91,7129.8
92,7017.8
93,6938.9
94,7009.3
95,6936.2
96,6854.3
97,6776.9
98,6864.4
99,6941.6
100,7019.2
101,6949.6
102,6870.5
103,6950.2
104,7036.9
105,7113.5
106,7042.2
107,6944.9
108,7027.7
109,7101.8
110,7182.2
111,7105
112,7032.3
113,7108.3
114,7034.3
115,7112.2
116,7185.4
117,7106.3
118,7194.4
119,7120.7
120,7197.6
121,7122
122,7207.9
123,7134.9
124,7059.9
125,6960.9
126,7053.4
127,7128.5
128,7037.6
129,6951.6
130,7029
131,6954.9
132,7028.4
133,7112.2
134,7029
135,7116.1
136,7040.2
137,6958.2
138,7038.9
139,7116.1
140,7214.3
141,7127.2
142,7041.5
143,7116.1
144,7189.2
145,7107.6
146,7189.9
147,7113.5
148,7188.6
149,7116.1
150,7194.4
151,7111.5
152,7186
153,7111.5
154,7029
155,7101.8
156,7176.3
157,7082.8
158,7008.6
159,6935.5
160,7011.9
161,6935.5
162,7021.8
163,6951.6
164,7029.7
165,6950.9
166,6881.3
167,6964.2
168,6893.4
169,6819.1
170,6743.3
171,6674.3
172,6570.1
173,6497.2
174,6593.3
175,6666
176,6739.9
177,6815
178,6933.5
179,7004.6
180,7139.5
181,7227.8
182,7322.6
183,7398.7
184,7474
185,7398.7
186,7323.9
187,7444.2
188,7532
189,7453.6
190,7373
191,7275.7
192,7353.5
193,7439.3
194,7359.8
195,7439.9
196,7540
197,7463.5
198,7388.7
199,7467.8
200,7391.2
201,7467.8
202,7392.4
203,7474.6
204,7557.8
205,7472.8
206,7394.9
207,7470.9
208,7550.4
209,7455.4
210,7373
211,7449.8
212,7375.5
213,7457.3
214,7540
215,7455.4
216,7381.2
217,7457.3
218,7540.6
219,7459.8
220,7380.5
221,7465.4
222,7368
223,7293.5
224,7218.2
225,7142.7
226,7036.9
227,6944.2
228,6861.7
229,6787.1
230,6867.1
231,6978.8
232,7059.9
233,7158.3
234,7251.4
235,7345.3
236,7255.9
237,7339.6
238,7252.7
239,7330.2
240,7408.7
241,7320.7
242,7400.6
243,7320.1
244,7244.4
245,7330.2
246,7251.4
247,7330.8
248,7246.3
249,7320.1
250,7241.2
251,7331.4
252,7255.9
253,7330.2
254,7247.6
255,7322
256,7241.2
257,7314.4
258,7233.5
259,7150.5
260,7229.1
261,7308
262,7224.6
263,7299.2
264,7219.4
265,7301.1
266,7225.2
267,7308.7
268,7218.2
269,7142.1
270,7219.4
271,7147.9
272,7073
273,7002.6
274,6932.9
275,7011.2
276,6924.2
277,6838.8
278,6770
279,6846.9
280,6942.2
281,7017.2
282,7093.3
283,7019.8
284,6914.8
285,6844.8
286,6918.8
287,6989.4
288,6920.2
289,7007.9
290,7082.8
291,6992.1
292,7071.1
293,7155.7
294,7082.8
295,6970.8
296,7046.1
297,6975.5
298,7048.8
299,6977.5
300,7053.4
301,6968.8
302,7042.2
303,6958.2
304,7041.5
305,7142.1
306,7044.8
307,6974.2
308,7050.1
309,6971.5
310,6901.4
311,6977.5
312,7069.1
313,6997.4
314,7075
315,7151.1
316,7075.6
317,7151.1
318,7080.2
319,7151.8
320,7227.8
321,7140.1
322,7058.6
323,6982.1
324,6900.1
325,6819.1
326,6735.1
327,6666.7
328,6596.9
329,6667.4
330,6750.2
331,6900.1
332,6973.5
333,7048.1
334,7123.9
335,7204
336,7282
337,7378.6
