"Name","Length"
"T1_150_R038.H5",98
"T1_553_R066.H5",14
"T1_553_R070.H5",57
"T1_553_R076.H5",10
"T1_553_R080.H5",16
"T1_553_R084.H5",19
"T1_553_R088.H5",21
"T1_553_R092.H5",16
"T1_553_R096.H5",8
"T1_553_R100.H5",6
"T1_553_R104.H5",16
"T1_553_R124.H5",87
"T1_553_R128.H5",73
"T1_553_R134.H5",85
"T1_553_R138.H5",87
"T1_553_R142.H5",62
"T1_553_R146.H5",85
"T1_553_R150.H5",75
"T1_553_R154.H5",75
"T1_553_R158.H5",82
"T1_553_R162.H5",85
"T1_802_R066.H5",8
"T1_802_R070.H5",4
"T1_802_R166.H5",6
"T1_802_R170.H5",4
"T1_802_R252.H5",20
"T1_802_R256.H5",14
"T1_802_R352.H5",58
"T1_802_R356.H5",2
"T1_802_R452.H5",4
"T1_802_R456.H5",1
"T1_802_R552.H5",5
"T1_802_R556.H5",1
"T1_802_R652.H5",4
"T1_802_R656.H5",1
"T1_802_R752.H5",1
"T1_802_R756.H5",1
"T1_803_R1258.H5",11
"T1_803_R2170.H5",1
"T1_803_R2194.H5",58
"T1_803_R2216.H5",60
"T1_803_R758.H5",67
"T1_950_R004.H5",55
"T1_950_R008.H5",54
"T1_950_R016.H5",79
"T1_950_R020.H5",78
"T1_950_R024.H5",75
"T1_950_R028.H5",75
"T1_950_R032.H5",11
"T1_950_R036.H5",15
"T1_950_R046.H5",13
"T1_950_R052.H5",4
"T1_950_R056.H5",2
"T1_950_R064.H5",2
"T1_950_R068.H5",4
"T1_950_R076.H5",74
"T1_950_R080.H5",72
"T1_950_R084.H5",72
"T1_950_R088.H5",75
"T1_950_R092.H5",1
"T1_950_R096.H5",1
"T1_950_R106.H5",12
"T1_950_R112.H5",1
"T1_950_R116.H5",6
"T1_950_R124.H5",1
"T1_950_R128.H5",10
"T1_950_R136.H5",74
"T1_950_R140.H5",70
"T1_950_R144.H5",75
"T1_950_R148.H5",70
"T1_950_R152.H5",1
"T1_950_R156.H5",6
"T1_950_R166.H5",1
"T1_950_R172.H5",4
"T1_950_R176.H5",1
"T1_950_R184.H5",1
"T1_950_R188.H5",1
"T1_950_R196.H5",77
"T1_950_R200.H5",76
"T1_950_R204.H5",71
"T1_950_R208.H5",70
"T1_950_R212.H5",6
"T1_950_R216.H5",4
